pen_id,param_ky,part_ts,reclaim_ct,vchar_param_vl,int_param_vl,dbl_param_vl,param_nm,param_dn,datatag_cd,datatype_cd,equip_ky,equip_nm,line_nm,equip_type_ky,equip_type_nm,process_ky,process_nm,last_reclaim_fg,source_db_insert_ts,db_data_source_cd,insert_ts,update_ts,sort_key_dt
6671555000708241,44193,2023-07-06 18:39:45.000,3,,5,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[nozzle_ID],Nozzle Bank ID,nozzle_ID,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:41.920,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44192,2023-07-06 18:39:45.000,3,,3,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_bank],Heater Bank ID,Heat_bank,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:41.937,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44194,2023-07-06 18:39:45.000,3,,135,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_Temp],Heater Temperature,Heat_Temp,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:41.937,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44193,2023-07-06 18:39:26.000,2,,5,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[nozzle_ID],Nozzle Bank ID,nozzle_ID,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:05.607,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44192,2023-07-06 18:39:26.000,2,,2,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_bank],Heater Bank ID,Heat_bank,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:05.607,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44194,2023-07-06 18:39:26.000,2,,135,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_Temp],Heater Temperature,Heat_Temp,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:14:05.793,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44193,2023-07-06 18:39:06.000,1,,5,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[nozzle_ID],Nozzle Bank ID,nozzle_ID,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:13:33.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44192,2023-07-06 18:39:06.000,1,,1,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_bank],Heater Bank ID,Heat_bank,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:13:33.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44194,2023-07-06 18:39:06.000,1,,135,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_Temp],Heater Temperature,Heat_Temp,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:13:33.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44175,2023-07-06 18:48:07.000,1,,-693,,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 PCI Z/FLEX WRAP]-[ZPOMThYS],POM Theta Y South,ZPOMThYS,INTEGER,57173,G5M5_Z2_2-DIT-2PCI_Z_FXW,Magma5,13848,TIJ2X R1 22 PCI Z/FLEX WRAP,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:27:42.493,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44176,2023-07-06 18:48:07.000,1,,33,,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 PCI Z/FLEX WRAP]-[ZPOMFlat],POM Flatness,ZPOMFlat,INTEGER,57173,G5M5_Z2_2-DIT-2PCI_Z_FXW,Magma5,13848,TIJ2X R1 22 PCI Z/FLEX WRAP,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:27:42.493,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,45208,2023-07-06 18:48:07.000,1,,130,,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 PCI Z/FLEX WRAP]-[ZPOMSP],POM Surface Profile,ZPOMSP,INTEGER,57173,G5M5_Z2_2-DIT-2PCI_Z_FXW,Magma5,13848,TIJ2X R1 22 PCI Z/FLEX WRAP,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:27:42.573,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44652,2023-07-06 18:47:15.000,1,,,33.6,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 BARCODE READER]-[PEN_TEMP],Pen Temperture,PEN_TEMP,DECIMAL,57168,G5M5_Z2_2-DIT-2BCR,Magma5,13713,TIJ2X R1 22 BARCODE READER,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:26:19.997,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44109,2023-07-06 18:47:32.000,1,,1077,,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 FLEX WRAP]-[CycleTime],Process Cycle Time,CycleTime,INTEGER,57171,G5M5_Z2_2-DIT-2FLEX_WRAP,Magma5,13844,TIJ2X R1 22 FLEX WRAP,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:26:47.803,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44758,2023-07-06 18:47:32.000,1,,,77.4,[IHA FLEX INSPECT TEST]-[TIJ2X R1 22 FLEX WRAP]-[Pressure],Flex Wrap Pressure (psi),Pressure,DECIMAL,57171,G5M5_Z2_2-DIT-2FLEX_WRAP,Magma5,13844,TIJ2X R1 22 FLEX WRAP,2460,IHA FLEX INSPECT TEST,Y,2023-07-06 19:26:47.803,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43974,2023-07-06 18:37:59.000,1,,,0.2084,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[VIS_FID0X],Attach Vision Fiducial 0X mm,VIS_FID0X,DECIMAL,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.047,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43975,2023-07-06 18:37:59.000,1,,,7.1687,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[VIS_FID0Y],Attach Vision Fiducial 0Y mm,VIS_FID0Y,DECIMAL,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.047,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43976,2023-07-06 18:37:59.000,1,,,0.189,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[VIS_FID1X],Attach Vision Fiducial 1X mm,VIS_FID1X,DECIMAL,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.047,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43977,2023-07-06 18:37:59.000,1,,,-7.5664,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[VIS_FID1Y],Attach Vision Fiducial 1Y mm,VIS_FID1Y,DECIMAL,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.047,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43978,2023-07-06 18:37:59.000,1,,2813,,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[ATT_TIME],Attach Cycle Time ms,ATT_TIME,INTEGER,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.063,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43979,2023-07-06 18:37:59.000,1,,381,,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[UV1_TIME],Attach UV 1 Cure Time ms,UV1_TIME,INTEGER,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.063,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43980,2023-07-06 18:37:59.000,1,,1000,,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[UV2_TIME],Attach UV 2 Cure Time ms,UV2_TIME,INTEGER,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.063,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43981,2023-07-06 18:37:59.000,1,BRE011524-06_03_03,,,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[IHA_ID],IHA Panel ID_Row_Column (eg CHE003586-01_02_04),IHA_ID,STRING,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.063,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,43984,2023-07-06 18:37:59.000,1,,,17.4178,[SMART BASE IHA ATTACH]-[TIJ2X R1 22 IHA ATTACH STATION]-[ATT_X],Attach Final Placement X on Pen mm,ATT_X,DECIMAL,57185,G5M5_Z2_2-IHA-ATTACH,Magma5,13858,TIJ2X R1 22 IHA ATTACH STATION,2436,SMART BASE IHA ATTACH,Y,2023-07-06 19:11:50.063,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
